cap_factor,demand_scale,emission_cap,shortage_cost,product,period,production,shortage,setup
1.0,1.0,300,1000,Alpha,demand_t2,45.0,5.0,1.0
1.0,1.0,300,1000,Beta,demand_t0,34.0,0.0,1.0
1.0,1.0,300,1000,Beta,demand_t1,36.0,0.0,1.0
1.0,1.0,300,1000,Beta,demand_t2,20.0,0.0,1.0
1.0,1.0,300,1000,Gamma,demand_t0,30.0,0.0,1.0
1.0,1.0,300,1000,Gamma,demand_t1,0.0,0.0,0.0
1.0,1.0,300,1000,Gamma,demand_t2,30.0,0.0,1.0
1.0,1.0,300,2000,Alpha,demand_t0,34.5,5.5,1.0
1.0,1.0,300,2000,Alpha,demand_t1,48.0,12.0,1.0
1.0,1.0,300,2000,Alpha,demand_t2,45.0,5.0,1.0
1.0,1.0,300,2000,Beta,demand_t0,34.0,0.0,1.0
1.0,1.0,300,2000,Beta,demand_t1,36.0,0.0,1.0
1.0,1.0,300,2000,Beta,demand_t2,20.0,0.0,1.0
1.0,1.0,300,2000,Gamma,demand_t0,30.0,0.0,1.0
1.0,1.0,300,2000,Gamma,demand_t1,0.0,0.0,0.0
1.0,1.0,300,2000,Gamma,demand_t2,30.0,0.0,1.0
1.0,1.2,None,500,Alpha,demand_t0,48.0,0.0,1.0
1.0,1.2,None,500,Alpha,demand_t1,72.0,0.0,1.0
1.0,1.2,None,500,Alpha,demand_t2,60.0,0.0,1.0
1.0,1.2,None,500,Beta,demand_t0,30.0,6.0,1.0
1.0,1.2,None,500,Beta,demand_t1,21.428571,26.571429,1.0
1.0,1.2,None,500,Beta,demand_t2,24.0,0.0,1.0
1.0,1.2,None,500,Gamma,demand_t0,24.0,0.0,1.0
1.0,1.2,None,500,Gamma,demand_t1,10.285714,1.7142857,1.0
1.0,1.2,None,500,Gamma,demand_t2,18.0,18.0,1.0
1.0,1.2,None,1000,Alpha,demand_t0,48.0,0.0,1.0
1.0,1.2,None,1000,Alpha,demand_t1,72.0,0.0,1.0
1.0,1.2,None,1000,Alpha,demand_t2,60.0,0.0,1.0
1.0,1.2,None,1000,Beta,demand_t0,30.0,6.0,1.0
1.0,1.2,None,1000,Beta,demand_t1,21.428571,26.571429,1.0
1.0,1.2,None,1000,Beta,demand_t2,24.0,0.0,1.0
1.0,1.2,None,1000,Gamma,demand_t0,24.0,0.0,1.0
1.0,1.2,None,1000,Gamma,demand_t1,10.285714,1.7142857,1.0
1.0,1.2,None,1000,Gamma,demand_t2,18.0,18.0,1.0
1.0,1.2,None,2000,Alpha,demand_t0,48.0,0.0,1.0
1.0,1.2,None,2000,Alpha,demand_t1,72.0,0.0,1.0
1.0,1.2,None,2000,Alpha,demand_t2,60.0,0.0,1.0
1.0,1.2,None,2000,Beta,demand_t0,30.0,6.0,1.0
1.0,1.2,None,2000,Beta,demand_t1,21.428571,26.571429,1.0
1.0,1.2,None,2000,Beta,demand_t2,24.0,0.0,1.0
1.0,1.2,None,2000,Gamma,demand_t0,24.0,0.0,1.0
1.0,1.2,None,2000,Gamma,demand_t1,10.285714,1.7142857,1.0
1.0,1.2,None,2000,Gamma,demand_t2,18.0,18.0,1.0
1.0,1.2,200,500,Alpha,demand_t0,0.0,48.0,0.0
1.0,1.2,200,500,Alpha,demand_t1,0.0,72.0,0.0
1.0,1.2,200,500,Alpha,demand_t2,33.0,27.0,1.0
1.0,1.2,200,500,Beta,demand_t0,36.0,0.0,1.0
1.0,1.2,200,500,Beta,demand_t1,49.333333,0.0,1.0
1.0,1.2,200,500,Beta,demand_t2,22.666667,0.0,1.0
1.0,1.2,200,500,Gamma,demand_t0,46.0,0.0,1.0
1.0,1.2,200,500,Gamma,demand_t1,26.0,0.0,1.0
1.0,1.2,200,500,Gamma,demand_t2,0.0,0.0,0.0
1.0,1.2,200,1000,Alpha,demand_t0,0.0,48.0,0.0
1.0,1.2,200,1000,Alpha,demand_t1,0.0,72.0,0.0
1.0,1.2,200,1000,Alpha,demand_t2,33.0,27.0,1.0
1.0,1.2,200,1000,Beta,demand_t0,36.0,0.0,1.0
1.0,1.2,200,1000,Beta,demand_t1,49.333333,0.0,1.0
1.0,1.2,200,1000,Beta,demand_t2,22.666667,0.0,1.0
1.0,1.2,200,1000,Gamma,demand_t0,46.0,0.0,1.0
1.0,1.2,200,1000,Gamma,demand_t1,26.0,0.0,1.0
1.0,1.2,200,1000,Gamma,demand_t2,0.0,0.0,0.0
1.0,1.2,200,2000,Alpha,demand_t0,0.0,48.0,0.0
1.0,1.2,200,2000,Alpha,demand_t1,0.0,72.0,0.0
1.0,1.2,200,2000,Alpha,demand_t2,33.0,27.0,1.0
1.0,1.2,200,2000,Beta,demand_t0,36.0,0.0,1.0
1.0,1.2,200,2000,Beta,demand_t1,49.333333,0.0,1.0
1.0,1.2,200,2000,Beta,demand_t2,22.666667,0.0,1.0
1.0,1.2,200,2000,Gamma,demand_t0,46.0,0.0,1.0
1.0,1.2,200,2000,Gamma,demand_t1,26.0,0.0,1.0
1.0,1.2,200,2000,Gamma,demand_t2,0.0,0.0,0.0
1.0,1.2,300,500,Alpha,demand_t0,36.0,12.0,1.0
1.0,1.2,300,500,Alpha,demand_t1,40.2,31.8,1.0
1.0,1.2,300,500,Alpha,demand_t2,40.8,19.2,1.0
1.0,1.2,300,500,Beta,demand_t0,36.0,0.0,1.0
1.0,1.2,300,500,Beta,demand_t1,36.0,12.0,1.0
1.0,1.2,300,500,Beta,demand_t2,24.0,0.0,1.0
1.0,1.2,300,500,Gamma,demand_t0,24.0,0.0,1.0
1.0,1.2,300,500,Gamma,demand_t1,15.6,0.0,1.0
1.0,1.2,300,500,Gamma,demand_t2,32.4,0.0,1.0
1.0,1.2,300,1000,Alpha,demand_t0,36.0,12.0,1.0
1.0,1.2,300,1000,Alpha,demand_t1,40.2,31.8,1.0
1.0,1.2,300,1000,Alpha,demand_t2,40.8,19.2,1.0
1.0,1.2,300,1000,Beta,demand_t0,36.0,0.0,1.0
1.0,1.2,300,1000,Beta,demand_t1,36.0,12.0,1.0
1.0,1.2,300,1000,Beta,demand_t2,24.0,0.0,1.0
1.0,1.2,300,1000,Gamma,demand_t0,24.0,0.0,1.0
1.0,1.2,300,1000,Gamma,demand_t1,15.6,0.0,1.0
1.0,1.2,300,1000,Gamma,demand_t2,32.4,0.0,1.0
1.0,1.2,300,2000,Alpha,demand_t0,36.0,12.0,1.0
1.0,1.2,300,2000,Alpha,demand_t1,40.2,31.8,1.0
1.0,1.2,300,2000,Alpha,demand_t2,40.8,19.2,1.0
1.0,1.2,300,2000,Beta,demand_t0,36.0,0.0,1.0
1.0,1.2,300,2000,Beta,demand_t1,36.0,12.0,1.0
1.0,1.2,300,2000,Beta,demand_t2,24.0,0.0,1.0
1.0,1.2,300,2000,Gamma,demand_t0,24.0,0.0,1.0
1.0,1.2,300,2000,Gamma,demand_t1,15.6,0.0,1.0
1.0,1.2,300,2000,Gamma,demand_t2,32.4,0.0,1.0
1.3,0.8,None,500,Alpha,demand_t0,32.0,0.0,1.0
1.3,0.8,None,500,Alpha,demand_t1,88.0,0.0,1.0
1.3,0.8,None,500,Alpha,demand_t2,0.0,0.0,0.0
1.3,0.8,None,500,Beta,demand_t0,38.0,0.0,1.0
1.3,0.8,None,500,Beta,demand_t1,34.0,0.0,1.0
1.3,0.8,None,500,Beta,demand_t2,0.0,0.0,0.0
1.3,0.8,None,500,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,None,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,None,500,Gamma,demand_t2,0.0,0.0,0.0
1.3,0.8,None,1000,Alpha,demand_t0,32.0,0.0,1.0
1.3,0.8,None,1000,Alpha,demand_t1,88.0,0.0,1.0
1.3,0.8,None,1000,Alpha,demand_t2,0.0,0.0,0.0
1.3,0.8,None,1000,Beta,demand_t0,38.0,0.0,1.0
1.3,0.8,None,1000,Beta,demand_t1,34.0,0.0,1.0
1.3,0.8,None,1000,Beta,demand_t2,0.0,0.0,0.0
1.3,0.8,None,1000,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,None,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,None,1000,Gamma,demand_t2,0.0,0.0,0.0
1.3,0.8,None,2000,Alpha,demand_t0,32.0,0.0,1.0
1.3,0.8,None,2000,Alpha,demand_t1,88.0,0.0,1.0
1.3,0.8,None,2000,Alpha,demand_t2,0.0,0.0,0.0
1.3,0.8,None,2000,Beta,demand_t0,38.0,0.0,1.0
1.3,0.8,None,2000,Beta,demand_t1,34.0,0.0,1.0
1.3,0.8,None,2000,Beta,demand_t2,0.0,0.0,0.0
1.3,0.8,None,2000,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,None,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,None,2000,Gamma,demand_t2,0.0,0.0,0.0
1.3,0.8,200,500,Alpha,demand_t0,0.0,32.0,0.0
1.3,0.8,200,500,Alpha,demand_t1,34.0,14.0,1.0
1.3,0.8,200,500,Alpha,demand_t2,38.0,2.0,1.0
1.3,0.8,200,500,Beta,demand_t0,34.666667,0.0,1.0
1.3,0.8,200,500,Beta,demand_t1,21.333333,0.0,1.0
1.3,0.8,200,500,Beta,demand_t2,16.0,0.0,1.0
1.3,0.8,200,500,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,200,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,200,500,Gamma,demand_t2,0.0,0.0,0.0
1.3,0.8,200,1000,Alpha,demand_t0,0.0,32.0,0.0
1.3,0.8,200,1000,Alpha,demand_t1,34.0,14.0,1.0
1.3,0.8,200,1000,Alpha,demand_t2,38.0,2.0,1.0
1.3,0.8,200,1000,Beta,demand_t0,34.666667,0.0,1.0
1.3,0.8,200,1000,Beta,demand_t1,21.333333,0.0,1.0
1.3,0.8,200,1000,Beta,demand_t2,16.0,0.0,1.0
1.3,0.8,200,1000,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,200,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,200,1000,Gamma,demand_t2,0.0,0.0,0.0
1.3,0.8,200,2000,Alpha,demand_t0,0.0,32.0,0.0
1.3,0.8,200,2000,Alpha,demand_t1,34.0,14.0,1.0
1.3,0.8,200,2000,Alpha,demand_t2,38.0,2.0,1.0
1.3,0.8,200,2000,Beta,demand_t0,34.666667,0.0,1.0
1.3,0.8,200,2000,Beta,demand_t1,21.333333,0.0,1.0
1.3,0.8,200,2000,Beta,demand_t2,16.0,0.0,1.0
1.3,0.8,200,2000,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,200,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,200,2000,Gamma,demand_t2,0.0,0.0,0.0
1.3,0.8,300,500,Alpha,demand_t0,32.0,0.0,1.0
1.3,0.8,300,500,Alpha,demand_t1,48.0,0.0,1.0
1.3,0.8,300,500,Alpha,demand_t2,40.0,0.0,1.0
1.3,0.8,300,500,Beta,demand_t0,24.0,0.0,1.0
1.3,0.8,300,500,Beta,demand_t1,32.0,0.0,1.0
1.3,0.8,300,500,Beta,demand_t2,16.0,0.0,1.0
1.3,0.8,300,500,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,300,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,300,500,Gamma,demand_t2,0.0,0.0,0.0
1.3,0.8,300,1000,Alpha,demand_t0,32.0,0.0,1.0
1.3,0.8,300,1000,Alpha,demand_t1,48.0,0.0,1.0
1.3,0.8,300,1000,Alpha,demand_t2,40.0,0.0,1.0
1.3,0.8,300,1000,Beta,demand_t0,24.0,0.0,1.0
1.3,0.8,300,1000,Beta,demand_t1,32.0,0.0,1.0
1.3,0.8,300,1000,Beta,demand_t2,16.0,0.0,1.0
1.3,0.8,300,1000,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,300,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,300,1000,Gamma,demand_t2,0.0,0.0,0.0
1.3,0.8,300,2000,Alpha,demand_t0,32.0,0.0,1.0
1.3,0.8,300,2000,Alpha,demand_t1,48.0,0.0,1.0
1.3,0.8,300,2000,Alpha,demand_t2,40.0,0.0,1.0
1.3,0.8,300,2000,Beta,demand_t0,24.0,0.0,1.0
1.3,0.8,300,2000,Beta,demand_t1,32.0,0.0,1.0
1.3,0.8,300,2000,Beta,demand_t2,16.0,0.0,1.0
1.3,0.8,300,2000,Gamma,demand_t0,48.0,0.0,1.0
1.3,0.8,300,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,0.8,300,2000,Gamma,demand_t2,0.0,0.0,0.0
1.3,1.0,None,500,Alpha,demand_t0,40.0,0.0,1.0
1.3,1.0,None,500,Alpha,demand_t1,110.0,0.0,1.0
1.3,1.0,None,500,Alpha,demand_t2,0.0,0.0,0.0
1.3,1.0,None,500,Beta,demand_t0,47.0,0.0,1.0
1.3,1.0,None,500,Beta,demand_t1,23.0,0.0,1.0
1.3,1.0,None,500,Beta,demand_t2,20.0,0.0,1.0
1.3,1.0,None,500,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,None,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,None,500,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.0,None,1000,Alpha,demand_t0,40.0,0.0,1.0
1.3,1.0,None,1000,Alpha,demand_t1,110.0,0.0,1.0
1.3,1.0,None,1000,Alpha,demand_t2,0.0,0.0,0.0
1.3,1.0,None,1000,Beta,demand_t0,47.0,0.0,1.0
1.3,1.0,None,1000,Beta,demand_t1,23.0,0.0,1.0
1.3,1.0,None,1000,Beta,demand_t2,20.0,0.0,1.0
1.3,1.0,None,1000,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,None,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,None,1000,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.0,None,2000,Alpha,demand_t0,40.0,0.0,1.0
1.3,1.0,None,2000,Alpha,demand_t1,110.0,0.0,1.0
1.3,1.0,None,2000,Alpha,demand_t2,0.0,0.0,0.0
1.3,1.0,None,2000,Beta,demand_t0,47.0,0.0,1.0
1.3,1.0,None,2000,Beta,demand_t1,23.0,0.0,1.0
1.3,1.0,None,2000,Beta,demand_t2,20.0,0.0,1.0
1.3,1.0,None,2000,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,None,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,None,2000,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.0,200,500,Alpha,demand_t0,0.0,40.0,0.0
1.3,1.0,200,500,Alpha,demand_t1,17.5,42.5,1.0
1.3,1.0,200,500,Alpha,demand_t2,35.0,15.0,1.0
1.3,1.0,200,500,Beta,demand_t0,46.666667,0.0,1.0
1.3,1.0,200,500,Beta,demand_t1,43.333333,0.0,1.0
1.3,1.0,200,500,Beta,demand_t2,0.0,0.0,0.0
1.3,1.0,200,500,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,200,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,200,500,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.0,200,1000,Alpha,demand_t0,0.0,40.0,0.0
1.3,1.0,200,1000,Alpha,demand_t1,17.5,42.5,1.0
1.3,1.0,200,1000,Alpha,demand_t2,35.0,15.0,1.0
1.3,1.0,200,1000,Beta,demand_t0,46.666667,0.0,1.0
1.3,1.0,200,1000,Beta,demand_t1,43.333333,0.0,1.0
1.3,1.0,200,1000,Beta,demand_t2,0.0,0.0,0.0
1.3,1.0,200,1000,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,200,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,200,1000,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.0,200,2000,Alpha,demand_t0,0.0,40.0,0.0
1.3,1.0,200,2000,Alpha,demand_t1,17.5,42.5,1.0
1.3,1.0,200,2000,Alpha,demand_t2,35.0,15.0,1.0
1.3,1.0,200,2000,Beta,demand_t0,46.666667,0.0,1.0
1.3,1.0,200,2000,Beta,demand_t1,43.333333,0.0,1.0
1.3,1.0,200,2000,Beta,demand_t2,0.0,0.0,0.0
1.3,1.0,200,2000,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,200,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,200,2000,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.0,300,500,Alpha,demand_t0,37.5,2.5,1.0
1.3,1.0,300,500,Alpha,demand_t1,45.0,15.0,1.0
1.3,1.0,300,500,Alpha,demand_t2,45.0,5.0,1.0
1.3,1.0,300,500,Beta,demand_t0,30.0,0.0,1.0
1.3,1.0,300,500,Beta,demand_t1,40.0,0.0,1.0
1.3,1.0,300,500,Beta,demand_t2,20.0,0.0,1.0
1.3,1.0,300,500,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,300,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,300,500,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.0,300,1000,Alpha,demand_t0,37.5,2.5,1.0
1.3,1.0,300,1000,Alpha,demand_t1,45.0,15.0,1.0
1.3,1.0,300,1000,Alpha,demand_t2,45.0,5.0,1.0
1.3,1.0,300,1000,Beta,demand_t0,30.0,0.0,1.0
1.3,1.0,300,1000,Beta,demand_t1,40.0,0.0,1.0
1.3,1.0,300,1000,Beta,demand_t2,20.0,0.0,1.0
1.3,1.0,300,1000,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,300,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,300,1000,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.0,300,2000,Alpha,demand_t0,37.5,2.5,1.0
1.3,1.0,300,2000,Alpha,demand_t1,45.0,15.0,1.0
1.3,1.0,300,2000,Alpha,demand_t2,45.0,5.0,1.0
1.3,1.0,300,2000,Beta,demand_t0,30.0,0.0,1.0
1.3,1.0,300,2000,Beta,demand_t1,40.0,0.0,1.0
1.3,1.0,300,2000,Beta,demand_t2,20.0,0.0,1.0
1.3,1.0,300,2000,Gamma,demand_t0,30.0,0.0,1.0
1.3,1.0,300,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.0,300,2000,Gamma,demand_t2,30.0,0.0,1.0
1.3,1.2,None,500,Alpha,demand_t0,48.0,0.0,1.0
1.3,1.2,None,500,Alpha,demand_t1,72.0,0.0,1.0
1.3,1.2,None,500,Alpha,demand_t2,60.0,0.0,1.0
1.3,1.2,None,500,Beta,demand_t0,42.0,0.0,1.0
1.3,1.2,None,500,Beta,demand_t1,42.0,0.0,1.0
1.3,1.2,None,500,Beta,demand_t2,24.0,0.0,1.0
1.3,1.2,None,500,Gamma,demand_t0,36.0,0.0,1.0
1.3,1.2,None,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,None,500,Gamma,demand_t2,36.0,0.0,1.0
1.3,1.2,None,1000,Alpha,demand_t0,48.0,0.0,1.0
1.3,1.2,None,1000,Alpha,demand_t1,72.0,0.0,1.0
1.3,1.2,None,1000,Alpha,demand_t2,60.0,0.0,1.0
1.3,1.2,None,1000,Beta,demand_t0,42.0,0.0,1.0
1.3,1.2,None,1000,Beta,demand_t1,42.0,0.0,1.0
1.3,1.2,None,1000,Beta,demand_t2,24.0,0.0,1.0
1.3,1.2,None,1000,Gamma,demand_t0,36.0,0.0,1.0
1.3,1.2,None,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,None,1000,Gamma,demand_t2,36.0,0.0,1.0
1.3,1.2,None,2000,Alpha,demand_t0,48.0,0.0,1.0
1.3,1.2,None,2000,Alpha,demand_t1,72.0,0.0,1.0
1.3,1.2,None,2000,Alpha,demand_t2,60.0,0.0,1.0
1.3,1.2,None,2000,Beta,demand_t0,42.0,0.0,1.0
1.3,1.2,None,2000,Beta,demand_t1,42.0,0.0,1.0
1.3,1.2,None,2000,Beta,demand_t2,24.0,0.0,1.0
1.3,1.2,None,2000,Gamma,demand_t0,36.0,0.0,1.0
1.3,1.2,None,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,None,2000,Gamma,demand_t2,36.0,0.0,1.0
1.3,1.2,200,500,Alpha,demand_t0,0.0,48.0,0.0
1.3,1.2,200,500,Alpha,demand_t1,0.0,72.0,0.0
1.3,1.2,200,500,Alpha,demand_t2,33.0,27.0,1.0
1.3,1.2,200,500,Beta,demand_t0,41.333333,0.0,1.0
1.3,1.2,200,500,Beta,demand_t1,66.666667,0.0,1.0
1.3,1.2,200,500,Beta,demand_t2,0.0,0.0,0.0
1.3,1.2,200,500,Gamma,demand_t0,38.0,0.0,1.0
1.3,1.2,200,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,200,500,Gamma,demand_t2,34.0,0.0,1.0
1.3,1.2,200,1000,Alpha,demand_t0,0.0,48.0,0.0
1.3,1.2,200,1000,Alpha,demand_t1,0.0,72.0,0.0
1.3,1.2,200,1000,Alpha,demand_t2,33.0,27.0,1.0
1.3,1.2,200,1000,Beta,demand_t0,41.333333,0.0,1.0
1.3,1.2,200,1000,Beta,demand_t1,66.666667,0.0,1.0
1.3,1.2,200,1000,Beta,demand_t2,0.0,0.0,0.0
1.3,1.2,200,1000,Gamma,demand_t0,38.0,0.0,1.0
1.3,1.2,200,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,200,1000,Gamma,demand_t2,34.0,0.0,1.0
1.3,1.2,200,2000,Alpha,demand_t0,0.0,48.0,0.0
1.3,1.2,200,2000,Alpha,demand_t1,0.0,72.0,0.0
1.3,1.2,200,2000,Alpha,demand_t2,33.0,27.0,1.0
1.3,1.2,200,2000,Beta,demand_t0,41.333333,0.0,1.0
1.3,1.2,200,2000,Beta,demand_t1,66.666667,0.0,1.0
1.3,1.2,200,2000,Beta,demand_t2,0.0,0.0,0.0
1.3,1.2,200,2000,Gamma,demand_t0,38.0,0.0,1.0
1.3,1.2,200,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,200,2000,Gamma,demand_t2,34.0,0.0,1.0
1.3,1.2,300,500,Alpha,demand_t0,0.0,48.0,0.0
1.3,1.2,300,500,Alpha,demand_t1,60.6,11.4,1.0
1.3,1.2,300,500,Alpha,demand_t2,47.4,12.6,1.0
1.3,1.2,300,500,Beta,demand_t0,64.8,0.0,1.0
1.3,1.2,300,500,Beta,demand_t1,19.2,0.0,1.0
1.3,1.2,300,500,Beta,demand_t2,24.0,0.0,1.0
1.3,1.2,300,500,Gamma,demand_t0,52.8,0.0,1.0
1.3,1.2,300,500,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,300,500,Gamma,demand_t2,19.2,0.0,1.0
1.3,1.2,300,1000,Alpha,demand_t0,0.0,48.0,0.0
1.3,1.2,300,1000,Alpha,demand_t1,60.6,11.4,1.0
1.3,1.2,300,1000,Alpha,demand_t2,47.4,12.6,1.0
1.3,1.2,300,1000,Beta,demand_t0,64.8,0.0,1.0
1.3,1.2,300,1000,Beta,demand_t1,19.2,0.0,1.0
1.3,1.2,300,1000,Beta,demand_t2,24.0,0.0,1.0
1.3,1.2,300,1000,Gamma,demand_t0,52.8,0.0,1.0
1.3,1.2,300,1000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,300,1000,Gamma,demand_t2,19.2,0.0,1.0
1.3,1.2,300,2000,Alpha,demand_t0,0.0,48.0,0.0
1.3,1.2,300,2000,Alpha,demand_t1,60.6,11.4,1.0
1.3,1.2,300,2000,Alpha,demand_t2,47.4,12.6,1.0
1.3,1.2,300,2000,Beta,demand_t0,64.8,0.0,1.0
1.3,1.2,300,2000,Beta,demand_t1,19.2,0.0,1.0
1.3,1.2,300,2000,Beta,demand_t2,24.0,0.0,1.0
1.3,1.2,300,2000,Gamma,demand_t0,52.8,0.0,1.0
1.3,1.2,300,2000,Gamma,demand_t1,0.0,0.0,0.0
1.3,1.2,300,2000,Gamma,demand_t2,19.2,0.0,1.0
